StationUID,StationID,AuthorityID,BikesCapacity,ServiceType,SrcUpdateTime,UpdateTime,StationName_Zh_tw,StationName_En,StationAddress_Zh_tw,StationAddress_En,PositionLon,PositionLat,GeoHash
TNN501329003,501329003,TNN,15,2,2023-05-15T20:18:17+08:00,2023-05-17T16:51:36+08:00,新化體育公園,Xinhua Sport Park,公園路110號,"No. 110, Gongyuan Rd.",120.30652,23.02954,wsje18ksc
TNN501329004,501329004,TNN,20,2,2023-05-17T15:26:17+08:00,2023-05-17T16:51:36+08:00,新化國中,Xinhua Junior High School,民生路43號東側,"No. 43, Minsheng Rd.(East)",120.31153,23.03562,wsje1c80j
TNN501329006,501329006,TNN,20,2,2023-05-17T15:54:18+08:00,2023-05-17T16:51:36+08:00,大智路豐榮洋子(活動中心),Dazhi Rd. Fengrong Yangzi (Activity Center),新化區豐榮里洋子164號,"No. 164, Yangzi, Fengrong Village, Xinhua Dist.",120.29797,23.03371,wsje13nm1
TNN501330001,501330001,TNN,20,2,2023-05-17T16:41:18+08:00,2023-05-17T16:51:36+08:00,南科管理局,STSP Bureau,南科三路17號前,"No. 17, Nanke 3rd Rd.",120.28203,23.09865,wsje3hfxq
TNN501330002,501330002,TNN,20,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,新市車站,Xinshi Sta.,中華路1號(東北側),"No. 1, Zhonghua Rd.(Northeast)",120.2902169,23.06834369,wsje1r2wv
TNN501330003,501330003,TNN,18,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,臺灣史前博物館(南科考古館),"Museum of Archaeology, Tainan Branch of National Museum of Prehistory",南科三路10號(北側停車場前),"No. 10, Nanke 3rd Rd.(North)",120.28391,23.10189,wsje3js46
TNN501330004,501330004,TNN,22,2,2023-05-17T16:36:05+08:00,2023-05-17T16:51:36+08:00,南科社區中心,STSP Community Center,大順三路125號前,"No. 125, Dashun 3rd Rd.",120.28843,23.10225,wsje3jxk7
TNN501330005,501330005,TNN,17,2,2023-05-17T16:25:18+08:00,2023-05-17T16:51:36+08:00,新市區公所,Sinshih District Office,中興街12號,"No. 12, Zhongxing St.",120.29502,23.07883,wsje33k5v
TNN501331001,501331001,TNN,22,2,2023-05-17T16:41:18+08:00,2023-05-17T16:51:36+08:00,新營美術園區,Xinying Art Park,公園路一段/中華路口,"Sec. 1, Gongyuan Rd. & Zhonghua Rd. Intersection",120.30632,23.30503,wsjs9ds3s
TNN501331002,501331002,TNN,28,2,2023-05-17T16:47:16+08:00,2023-05-17T16:51:36+08:00,新營高中,Sinying Senior High School,民權路101號(南側),"No. 101, Minquan Rd.(South)",120.31223,23.3079,wsjs9g0dq
